id;Name;Description;Type;Year;Rating;Director;Genres;Image;startDate;endDate;webLink;netflixLink;Duration
70244168;"Eyvah Yaş 40";"Kaza Kurşunu'nun devamı olan filmde evli çift Pete ve Debbie, yaşlanmanın ve orta yaşlı olmanın gerçekleriyle boğuşuyor.";Movie;2012;6.2;"Judd Apatow";"Komedi, Romantik";...;2015-04-14;NULL;https://turflix.com/film/eyvah-yas-40-70244168;https://www.netflix.com/title/70244168;133
70084800;Aşkzede;"Televizyon yıldızı kız arkadaşı Sarah tarafından kalbi kırılan Peter hayatına kaldığı yerden devam edemez; çünkü Sarah Hawaii'de onunla aynı tesiste tatil yapmaktadır.";Movie;2008;7.1;"Ted Demme";"Komedi, Romantik";...;2015-04-14;NULL;https://turflix.com/film/askzede-70084800;https://www.netflix.com/title/70084800;110
80195838;"Denis Leary: No Cure For Cancer";"Onu efsane kılan stand-up performansında komedyen Denis Leary, sigara içmeyenler, vejetaryenler ve diğer istenmeyen kişiler hakkında iğneleyici biçimde uzun uzun konuşur.";Movie;1992;7.5;"Ted Demme";Stand-up;...;2017-08-08;NULL;https://turflix.com/film/denis-leary-no-cure-for-cancer-80195838;https://www.netflix.com/title/80195838;62
70208599;"İnanılmaz Örümcek Adam";"Süper kahraman serisinin yeniden çekilen bu filminde, lise öğrencisi Peter Parker, baş düşmanı Kertenkele'yle karşılaşırken yeni güçlerini ustaca kullanmayı öğrenir.";Movie;2012;6.9;"Marc Webb";"Aksiyon, Macera, Fantastik";...;2015-04-14;NULL;https://turflix.com/film/inanilmaz-oeruemcek-adam-70208599;https://www.netflix.com/title/70208599;136
70293702;"İnanılmaz Örümcek Adam 2";"Gwen Stacy'yi tehlikeli hayatının dışında bırakma sözünü tutmakta zorlanan Örümcek Adam, Rhino'ya ve güçlü Electro'ya meydan okur.";Movie;2014;6.6;"Marc Webb";"Aksiyon, Macera, Fantastik";...;2016-01-20;NULL;https://turflix.com/film/inanilmaz-oeruemcek-adam-2-70293702;https://www.netflix.com/title/70293702;141
70123920;"Adı Çıkmış";"Okuduğu lisede kimseler ismini bile bilmezken bir yalan sayesinde kötü de olsa şöhrete kavuşan Olive, bu kışkırtıcı yeni kimliğini benimsemeye karar verir.";Movie;2010;7.0;"Will Gluck";Komedi;...;2015-04-14;NULL;https://turflix.com/film/adi-cikmis-70123920;https://www.netflix.com/title/70123920;92
70167075;"Arkadaştan Öte";"Birbirlerinden elektrik alan bir işe alım sorumlusu ve bir sanat direktörü, duygusal bir bağlılık olmadan sadece cinselliğe dayalı bir arkadaşlık kurmaya karar verir.";Movie;2011;6.5;"Will Gluck";"Komedi, Romantik";...;2016-01-01;NULL;https://turflix.com/film/arkadastan-oete-70167075;https://www.netflix.com/title/70167075;109
80127559;"Justin Timberlake + the Tennessee Kids";"Yetenekli müzisyenler, usta dansçılar ve karizmatik bir yıldız… Justin Timberlake'in dünya turnesinin son konserini, ünlü yönetmen Jonathan Demme farkıyla izleyin.";Movie;2016;7.7;"Jonathan Demme";"Belgesel, Müzik";...;2016-10-12;NULL;https://turflix.com/film/justin-timberlake-the-tennessee-kids-80127559;https://www.netflix.com/title/80127559;90
70141587;"Kötü Öğretmen";"Zengin bir koca bulma planı ayrılık nedeniyle suya düşünce bencil bir ortaokul öğretmeni, yeni bir adamın peşine düşer. Ancak yaptığı plan, beklenmedik derslere gebedir.";Movie;2011;5.6;"Jake Kasdan";Komedi;...;2015-04-14;NULL;https://turflix.com/film/koetue-oegretmen-70141587;https://www.netflix.com/title/70141587;91
80192646;"Jumanji: Vahşi Orman";"Ormanda geçen bir video oyununun içine çekilen dört liseli, gülünç biçimde tezatlı avatarlarının kılığında bir maceraya atılır.";Movie;2017;6.9;"Jake Kasdan";"Aksiyon, Macera, Komedi, Aile, Fantastik";...;2018-10-01;NULL;https://turflix.com/film/jumanji-vahsi-orman-80192646;https://www.netflix.com/title/80192646;119
